brand,product,url,description,imgSrc,imgAlt,name,specific,colorspace,hex,hue,sat,lightness
PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,DN7 Cocoa (dark brown skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2545382sw?$50px$,DN7 Cocoa (dark brown skin w/ neutral undertones),Cocoa,DN7,RGB,#996140,22.24719101,0.410138249,0.425490196
It Cosmetics,Your Skin But Better Foundation + Skincare,https://www.ulta.com/your-skin-but-better-foundation-skincare?productId=pimprod2017112,Rich Warm 51.5 (dark tan complexion with yellow undertone),https://images.ulta.com/is/image/Ulta/2570837sw?$50px$,Rich Warm 51.5 (dark tan complexion with yellow undertone),Rich Warm,51.5,RGB,#996239,25.625,0.457142857,0.411764706
Tarte,Face Tape Foundation,https://www.ulta.com/face-tape-foundation?productId=pimprod2003933,57G Rich Golden (deeper skin w/ golden or olive undertones),https://images.ulta.com/is/image/Ulta/2540311sw?$50px$,57G Rich Golden (deeper skin w/ golden or olive undertones),Rich Golden,57G,RGB,#996240,22.92134831,0.410138249,0.425490196
Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,https://www.sephora.com/product/rare-beauty-by-selena-gomez-liquid-touch-weightless-foundation-P49848448?icid2=products%20grid:p49848448,530N deep with neutral red undertones,/productimages/sku/s2361566+sw.jpg,530N 1 oz/ 30 mL,NA,530N,RGB,#996340,23.59550562,0.410138249,0.425490196
Natasha Denona,Transformatte Pore Vanishing Matte Foundation,https://www.sephora.com/product/transformatte-pore-vanishing-matte-foundation-P434566?skuId=1977255&icid2=products%20grid:p434566,#96NR deep with neutral-red undertone,/productimages/sku/s2113017+sw.jpg,#96NR 0.94 oz/ 28 mL,NA,96NR,RGB,#996354,13.04347826,0.291139241,0.464705882
Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,Cool Sienna,https://images.ulta.com/is/image/Ulta/2558952sw?$50px$,Cool Sienna,Cool Sienna,NA,RGB,#99653E,25.71428571,0.423255814,0.421568627
Catrice,HD Liquid Coverage Foundation,https://www.ulta.com/hd-liquid-coverage-foundation?productId=xlsImpprod16021093,Caramel Beige 080,https://images.ulta.com/is/image/Ulta/2529833sw?$50px$,Caramel Beige 080,Caramel Beige,80,RGB,#996846,24.57831325,0.372197309,0.437254902
Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,https://www.sephora.com/product/gucci-fluide-de-beaute-fini-naturel-natural-finish-fluid-foundation-P467622?icid2=products%20grid:p467622,460N medium deep with neutral undertones,/productimages/sku/s2405280+sw.jpg,460N 1 oz /30 ml,NA,460N,RGB,#996948,24.44444444,0.36,0.441176471
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,https://www.ulta.com/complexion-rescue-hydrating-foundation-stick-broad-spectrum-spf-25?productId=pimprod2004176,Chestnut 09 (dark neutral skin w/ peach undertones),https://images.ulta.com/is/image/Ulta/2541282sw?$50px$,Chestnut 09 (dark neutral skin w/ peach undertones),Chestnut,9,RGB,#996A46,26.02409639,0.372197309,0.437254902
COVER FX,Pressed Mineral Foundation,https://www.ulta.com/pressed-mineral-foundation?productId=xlsImpprod15931153,N110 (deepest rich ebony skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2507436sw?$50px$,N110 (deepest rich ebony skin w/ neutral undertones),NA,N110,RGB,#996A4D,22.89473684,0.330434783,0.450980392
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,https://www.sephora.com/product/make-no-mistake-foundation-concealer-stick-P420440?icid2=products%20grid:p420440,16 Ebony deep tan with red/yellow undertone,/productimages/sku/s1887538+sw.jpg,16 Ebony 0.41 oz/ 11.6 g Sephora Quality Way-Nice Price,Ebony,16,RGB,#996B63,8.888888889,0.214285714,0.494117647
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Golden Caramel D10,https://images.ulta.com/is/image/Ulta/2533533sw?$50px$,Golden Caramel D10,Golden Caramel,D10,RGB,#996D48,27.40740741,0.36,0.441176471
Burt's Bees,Goodness Glows Liquid Foundation,https://www.ulta.com/goodness-glows-liquid-foundation?productId=xlsImpprod16781010,Chestnut (dark skin w/ warm or yellow undertones),https://images.ulta.com/is/image/Ulta/2518259sw?$50px$,Chestnut (dark skin w/ warm or yellow undertones),Chestnut,NA,RGB,#996D4F,24.32432432,0.318965517,0.454901961
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321,Y455 - Praline for darker tan skin with deep-golden undertones,/productimages/sku/s1709070+sw.jpg,Y455 - Praline 1.01 oz/ 30 mL,NA,Y455,RGB,#997153,25.71428571,0.296610169,0.462745098
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,https://www.sephora.com/product/matte-perfection-foundation-P439400?icid2=products%20grid:p439400,59 Ebony matte,/productimages/sku/s2014827+sw.jpg,59 Ebony 1.01oz/30 mL Sephora Quality Way-Nice Price,Ebony,59,RGB,#99736A,11.4893617,0.187250996,0.507843137
Dior,Dior Forever Skin Glow Foundation,https://www.sephora.com/product/forever-glow-foundation-P439941?icid2=products%20grid:p439941,"8 Neutral very deep skin, neutral undertones",/productimages/sku/s2179067+sw.jpg,8 Neutral 1 oz/ 30 mL,Neutral,8,RGB,#99736E,6.976744186,0.174089069,0.515686275
Dior,Dior Forever Matte Foundation,https://www.sephora.com/product/forever-matte-foundation-P439940?icid2=products%20grid:p439940,"8 Neutral very deep skin, neutral undertones",/productimages/sku/s2178705+sw.jpg,8 Neutral 1 oz/ 30 mL allure 2019 Best of Beauty Award Winner,Neutral,8,RGB,#99736E,6.976744186,0.174089069,0.515686275
MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023,Y523 Golden Brown for dark skin with slightly golden undertones,/productimages/sku/s2106599+sw.jpg,Y523 Golden Brown 1.01 oz/ 30 mL,NA,Y523,RGB,#997447,32.92682927,0.366071429,0.439215686
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321,Y415 - Almond for lighter tan skin with very golden undertones,/productimages/sku/s1708908+sw.jpg,Y415 - Almond 1.01 oz/ 30 mL,NA,Y415,RGB,#997861,24.64285714,0.224,0.490196078
Tarte,Maracuja Hydrating Tinted Moisturizer,https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?icid2=products%20grid:p456371,56S rich sand deeper skin with yellow undertones,/productimages/sku/s2343416+sw.jpg,56S rich sand 0.5 oz/ 15 mL,NA,56S,RGB,#997969,20,0.19047619,0.505882353
bareMinerals,Blemish Rescue™ Salicylic Acid Loose Powder Foundation ,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products%20grid:p432867,Warm Deep 5.5N dark to deep skin with neutral undertones,/productimages/sku/s2107753+sw.jpg,Warm Deep 5.5N 0.21 oz/ 6 g,Warm Deep 5,5N,RGB,#9A583D,17.41935484,0.43255814,0.421568627
Makeup Revolution,Conceal & Hydrate Foundation,https://www.ulta.com/conceal-hydrate-foundation?productId=pimprod2008318,F13 (dark skin tones w/ a yellow undertone),https://images.ulta.com/is/image/Ulta/2549964sw?$50px$,F13 (dark skin tones w/ a yellow undertone),NA,F13,RGB,#9A5B32,23.65384615,0.509803922,0.4
KVD Vegan Beauty,Lock-It Powder Foundation Refills,https://www.ulta.com/lock-it-powder-foundation-refills?productId=pimprod2018122,Rich Deep 215 (rich deep walnut),https://images.ulta.com/is/image/Ulta/2571095sw?$50px$,Rich Deep 215 (rich deep walnut),Rich Deep,215,RGB,#9A5E47,16.62650602,0.368888889,0.441176471
PAT McGRATH LABS,Sublime Perfection Foundation,https://www.sephora.com/product/skin-fetish-sublime-perfection-foundation-P447519?icid2=products%20grid:p447519,Medium Deep 28 medium deep with red undertones,/productimages/sku/s2257145+sw.jpg,Medium Deep 28 1.18 oz/ 35 ml,Medium Deep,28,RGB,#9A5F3E,21.52173913,0.425925926,0.423529412
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,https://www.ulta.com/original-liquid-mineral-foundation-broad-spectrum-spf-20?productId=pimprod2018342,Golden Dark 25 (for dark neutral skin with a peach hue),https://images.ulta.com/is/image/Ulta/2557746sw?$50px$,Golden Dark 25 (for dark neutral skin with a peach hue),Golden Dark,25,RGB,#9A613D,23.22580645,0.43255814,0.421568627
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829,410 for tan to deep skin with warm golden undertones,/productimages/sku/s2413722+sw.jpg,410 0.32 oz/ 9.1 g,NA,410,RGB,#9A623E,23.47826087,0.425925926,0.423529412
Tarte,Amazonian Clay Full Coverage Foundation SPF 15,https://www.ulta.com/amazonian-clay-full-coverage-foundation-spf-15?productId=xlsImpprod4130103,48N Tan-Deep Neutral (tan to deep skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2538349sw?$50px$,48N Tan-Deep Neutral (tan to deep skin w/ neutral undertones),Tan-Deep Neutral,48N,RGB,#9A653E,25.43478261,0.425925926,0.423529412
It Cosmetics,Your Skin But Better Foundation + Skincare,https://www.ulta.com/your-skin-but-better-foundation-skincare?productId=pimprod2017112,Rich Cool 51.75 (rich to deep complexion with subtle red undertone),https://images.ulta.com/is/image/Ulta/2570838sw?$50px$,Rich Cool 51.75 (rich to deep complexion with subtle red undertone),Rich Cool,51.75,RGB,#9A6542,23.86363636,0.4,0.431372549
NYX Professional Makeup,Born To Glow Naturally Radiant Foundation,https://www.ulta.com/born-glow-naturally-radiant-foundation?productId=pimprod2006994,Warm Carmel (medium tan w/ neutral undertone),https://images.ulta.com/is/image/Ulta/2547537sw?$50px$,Warm Carmel (medium tan w/ neutral undertone),Warm Carmel,NA,RGB,#9A6549,20.74074074,0.356828194,0.445098039
Armani Beauty,Luminous Silk Perfect Glow Flawless Oil-Free Foundation,https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=products%20grid:p393401,"11.5 deep, peach",/productimages/sku/s1359736+sw.jpg,11.5 1 oz/ 30 mL,NA,11.5,RGB,#9A6642,24.54545455,0.4,0.431372549
FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,https://www.sephora.com/product/pro-filt-r-hydrating-longwear-foundation-P448702?icid2=products%20grid:p448702,460 for deep skin with cool red undertones,/productimages/sku/s2268365+sw.jpg,460 1.08 oz/ 32 mL,NA,460,RGB,#9A6956,16.76470588,0.283333333,0.470588235
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,https://www.sephora.com/product/complexion-rescue-hydrating-foundation-stick-broad-spectrum-spf-25-P441829?icid2=products%20grid:p441829,Cinnamon 10.5 for deep warm skin with golden undertones,/productimages/sku/s2176949+sw.jpg,Cinnamon 10.5 0.35 oz/ 10 g,Cinnamon,10.5,RGB,#9A6A51,20.54794521,0.310638298,0.460784314
Too Faced,Born This Way Pressed Powder Foundation,https://www.sephora.com/product/born-this-way-multi-use-complexion-powder-P447123?icid2=products%20grid:p447123,Toffee deepest with golden undertones,/productimages/sku/s2260628+sw.jpg,Toffee 0.35 oz/ 10 g,Toffee,NA,RGB,#9A6B4F,22.4,0.321888412,0.456862745
Too Faced,Born This Way Pressed Powder Foundation,https://www.sephora.com/product/born-this-way-multi-use-complexion-powder-P447123?icid2=products%20grid:p447123,Cocoa deepest with neutral undertones,/productimages/sku/s2260636+sw.jpg,Cocoa 0.35 oz/ 10 g,Cocoa,NA,RGB,#9A6B55,19.13043478,0.288702929,0.468627451
The Ordinary,Coverage Foundation,https://www.ulta.com/coverage-foundation?productId=pimprod2017436,3.2 N (deep w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2570281sw?$50px$,3.2 N (deep w/ neutral undertones),N,3.2,RGB,#9A6D4E,24.47368421,0.327586207,0.454901961
The Ordinary,Serum Foundation,https://www.ulta.com/ulta/browse/productDetail.jsp?productId=pimprod2017458,3.2 N (deep w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2570261sw?$50px$,3.2 N (deep w/ neutral undertones),N,3.2,RGB,#9A6D4F,24,0.321888412,0.456862745
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,"CN 117 Carob (deep, cool-neutral undertones)",https://images.ulta.com/is/image/Ulta/2544063sw?$50px$,"CN 117 Carob (deep, cool-neutral undertones)",Carob,CN 117,RGB,#9A6D55,20.86956522,0.288702929,0.468627451
Ofra Cosmetics,Absolute Cover Foundation,https://www.ulta.com/absolute-cover-foundation?productId=pimprod2007181,8 (a deep shade w/ a warm undertone),https://images.ulta.com/is/image/Ulta/2551329sw?$50px$,8 (a deep shade w/ a warm undertone),NA,8,RGB,#9A6E48,27.80487805,0.362831858,0.443137255
Tarte,Maracuja Hydrating Tinted Moisturizer,https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?icid2=products%20grid:p456371,54N deep neutral deep skin with neutral undertones,/productimages/sku/s2343580+sw.jpg,54N deep neutral 1 oz/ 30 mL,NA,54N,RGB,#9A6F56,22.05882353,0.283333333,0.470588235
Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F3.50 Neutral (tan w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2541954sw?$50px$,F3.50 Neutral (tan w/ neutral undertones),Neutral,F3.50,RGB,#9A704D,27.27272727,0.333333333,0.452941176
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,https://www.sephora.com/product/10-hr-wear-perfection-foundation-P379509?icid2=products%20grid:p379509,56 Milk Chocolate (P) for dark skin with pink undertones,/productimages/sku/s1751734+sw.jpg,56 Milk Chocolate (P) 0.84 oz Sephora Quality Way-Nice Price,Milk Chocolate,56,RGB,#9A7057,22.3880597,0.278008299,0.47254902
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321,Y445 - Amber for darker tan skin with neutral undertones,/productimages/sku/s1709104+sw.jpg,Y445 - Amber 1.01 oz/ 30 mL,NA,Y445,RGB,#9A7352,27.5,0.305084746,0.462745098
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-foundation-P398321?icid2=products%20grid:p398321,Y508 - Spice for dark skin with neutral undertones,/productimages/sku/s2246742+sw.jpg,Y508 - Spice 1.01 oz/ 30 mL,NA,Y508,RGB,#9A775D,25.57377049,0.246963563,0.484313725
bareMinerals,Matte Foundation Broad Spectrum SPF 15,https://www.ulta.com/matte-foundation-broad-spectrum-spf-15?productId=xlsImpprod1480002,Medium Dark 23 (dark skin w/ cool to neutral undertones),https://images.ulta.com/is/image/Ulta/2209451sw?$50px$,Medium Dark 23 (dark skin w/ cool to neutral undertones),Medium Dark,23,RGB,#9B5628,24,0.58974359,0.382352941
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,https://www.ulta.com/original-foundation-broad-spectrum-spf-15?productId=VP11362,Medium Dark 23 (deep neutral skin with subtle red undertones),https://images.ulta.com/is/image/Ulta/2160408sw?$50px$,Medium Dark 23 (deep neutral skin with subtle red undertones),Medium Dark,23,RGB,#9B5628,24,0.58974359,0.382352941
PAT McGRATH LABS,Sublime Perfection Foundation,https://www.sephora.com/product/skin-fetish-sublime-perfection-foundation-P447519?icid2=products%20grid:p447519,Deep 31 deep with neutral undertones,/productimages/sku/s2257178+sw.jpg,Deep 31 1.18 oz/ 35 ml,Deep,31,RGB,#9B5A35,21.76470588,0.490384615,0.407843137
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829,420 for tan to deep skin with warm undertones,/productimages/sku/s2413730+sw.jpg,420 0.32 oz/ 9.1 g,NA,420,RGB,#9B5E3A,22.26804124,0.455399061,0.417647059
Armani Beauty,Luminous Silk Perfect Glow Flawless Oil-Free Foundation,https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=products%20grid:p393401,"13.5 very deep, golden",/productimages/sku/s2079192+sw.jpg,13.5 1 oz/ 30 mL,NA,13.5,RGB,#9B603F,21.52173913,0.422018349,0.42745098
Tarte,Face Tape Foundation,https://www.ulta.com/face-tape-foundation?productId=pimprod2003933,57S Rich Sand (deeper skin w/ yellow undertones),https://images.ulta.com/is/image/Ulta/2540299sw?$50px$,57S Rich Sand (deeper skin w/ yellow undertones),Rich Sand,57S,RGB,#9B6140,21.75824176,0.415525114,0.429411765
ULTA,Moisturizing Foundation Stick,https://www.ulta.com/moisturizing-foundation-stick?productId=xlsImpprod18691125,Deep,https://images.ulta.com/is/image/Ulta/2542871sw?$50px$,Deep,Deep,NA,RGB,#9B614A,17.03703704,0.35371179,0.449019608
Laura Mercier,Smooth Finish Foundation Powder,https://www.sephora.com/product/smooth-finish-foundation-powder-P381714?icid2=products%20grid:p381714,20 brown with red undertones,/productimages/sku/s1530435+sw.jpg,20 0.3 oz/ 9.2 g,NA,20,RGB,#9B6345,20.93023256,0.383928571,0.439215686
Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,https://www.sephora.com/product/origins-pretty-in-bloom-spf-20-flower-infused-long-wear-foundation-P455004?icid2=products%20grid:p455004,710 VERY DEEP COOL,/productimages/sku/s2318244+sw.jpg,710 1.0 oz/ 30 mL Clean at Sephora,NA,710,RGB,#9B674D,20,0.336206897,0.454901961
NUDESTIX,Nudies Tinted Blur Stick,https://www.sephora.com/product/nudies-tinted-blur-stick-P431758?icid2=products%20grid:p431758,Deep 10 rich tan with neutral undertone,/productimages/sku/s2079473+sw.jpg,Deep 10 0.22 oz/ 6.12 g,Deep,10,RGB,#9B6862,6.315789474,0.225296443,0.496078431
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,365C (medium to tan skin with a cool olive undertone),https://images.ulta.com/is/image/Ulta/2551440sw?$50px$,365C (medium to tan skin with a cool olive undertone),NA,365C,RGB,#9B6B43,27.27272727,0.396396396,0.435294118
SEPHORA COLLECTION,10 Hour Wear Perfection Foundation,https://www.sephora.com/product/10-hr-wear-perfection-foundation-P379509?icid2=products%20grid:p379509,61 Dark Chocolate for dark skin with neutral undertones,/productimages/sku/s2222255+sw.jpg,61 Dark Chocolate 0.84 oz/ 25 mL Sephora Quality Way-Nice Price,Dark Chocolate,61,RGB,#9B6B61,10.34482759,0.23015873,0.494117647
Tarte,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,https://www.sephora.com/product/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30-sunscreen-P377542?icid2=products%20grid:p377542,Rich,/productimages/sku/s2413037+sw.jpg,Rich 1 fl oz/ 30 mL,Rich,NA,RGB,#9B6D57,19.41176471,0.280991736,0.474509804
jane iredale,PurePressed Base Mineral Foundation Refill,https://www.ulta.com/purepressed-base-mineral-foundation-refill?productId=pimprod2004116,Mahogany (dark w/ neutral brown undertones),https://images.ulta.com/is/image/Ulta/2544944sw?$50px$,Mahogany (dark w/ neutral brown undertones),Mahogany,NA,RGB,#9B6D59,18.18181818,0.270491803,0.478431373
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,"CN 115.75 Carob (deep, cool-neutral undertones)",https://images.ulta.com/is/image/Ulta/2533227sw?$50px$,"CN 115.75 Carob (deep, cool-neutral undertones)",Carob,CN 115.75,RGB,#9B6E56,20.86956522,0.286307054,0.47254902
Bobbi Brown,Skin Long-Wear Fluid Powder Foundation SPF 20,https://www.sephora.com/product/bobbi-brown-skin-long-wear-fluid-powder-foundation-P455195?icid2=products%20grid:p455195,Chestnut rich brown with red undertones,/productimages/sku/s2307254+sw.jpg,Chestnut 1.4 oz/ 40 mL,Chestnut,NA,RGB,#9B6E61,13.44827586,0.23015873,0.494117647
